layer,trial_index,tile_size,execution_time
layer_5,56,"[[25, [49, 1, 1, 1, 1]], [27, [1, 1, 1, 8, 1]], [29, [24, 3, 1]], [56, 2], [62, 1], [68, 2], [95, 3]]",[0.00011342085810306199]
layer_5,57,"[[25, [7, 1, 7, 1, 1]], [27, [4, 1, 2, 1, 1]], [29, [36, 1, 2]], [56, 3], [62, 0], [68, 0], [95, 1]]",[10000000000]
layer_5,58,"[[25, [7, 1, 7, 1, 1]], [27, [4, 2, 1, 1, 1]], [29, [18, 1, 4]], [56, 0], [62, 1], [68, 3], [95, 2]]",[2.4018204682641305e-05]
layer_5,59,"[[25, [1, 49, 1, 1, 1]], [27, [4, 1, 1, 1, 2]], [29, [18, 1, 4]], [56, 2], [62, 2], [68, 2], [95, 1]]",[5.9590779129070225e-05]
layer_5,60,"[[25, [1, 7, 1, 7, 1]], [27, [4, 1, 1, 1, 2]], [29, [18, 1, 4]], [56, 2], [62, 2], [68, 2], [95, 1]]",[5.830043938223938e-05]
layer_5,61,"[[25, [49, 1, 1, 1, 1]], [27, [1, 2, 2, 2, 1]], [29, [24, 1, 3]], [56, 2], [62, 0], [68, 3], [95, 1]]",[10000000000]
layer_5,62,"[[25, [1, 49, 1, 1, 1]], [27, [2, 2, 1, 2, 1]], [29, [36, 2, 1]], [56, 1], [62, 3], [68, 3], [95, 4]]",[10000000000]
layer_5,63,"[[25, [49, 1, 1, 1, 1]], [27, [1, 4, 1, 1, 2]], [29, [6, 6, 2]], [56, 0], [62, 3], [68, 0], [95, 0]]",[0.00011453887453323375]
layer_5,64,"[[25, [1, 7, 7, 1, 1]], [27, [1, 2, 1, 1, 4]], [29, [36, 1, 2]], [56, 3], [62, 1], [68, 1], [95, 2]]",[10000000000]
layer_5,65,"[[25, [49, 1, 1, 1, 1]], [27, [2, 2, 1, 2, 1]], [29, [18, 1, 4]], [56, 2], [62, 1], [68, 0], [95, 1]]",[8.127166756320602e-05]
layer_5,66,"[[25, [1, 49, 1, 1, 1]], [27, [4, 2, 1, 1, 1]], [29, [9, 8, 1]], [56, 0], [62, 0], [68, 1], [95, 1]]",[7.048695540796965e-05]
layer_5,67,"[[25, [1, 7, 7, 1, 1]], [27, [1, 2, 1, 2, 2]], [29, [72, 1, 1]], [56, 0], [62, 3], [68, 0], [95, 2]]",[9.655690914786967e-05]
layer_5,68,"[[25, [7, 7, 1, 1, 1]], [27, [4, 1, 1, 1, 2]], [29, [36, 2, 1]], [56, 2], [62, 2], [68, 3], [95, 2]]",[10000000000]
layer_5,69,"[[25, [1, 7, 1, 7, 1]], [27, [1, 2, 1, 1, 4]], [29, [18, 4, 1]], [56, 1], [62, 3], [68, 1], [95, 3]]",[0.0001053821359558316]
layer_5,70,"[[25, [7, 7, 1, 1, 1]], [27, [2, 1, 2, 1, 2]], [29, [18, 1, 4]], [56, 1], [62, 1], [68, 1], [95, 2]]",[6.500633175150992e-05]
layer_5,71,"[[25, [1, 49, 1, 1, 1]], [27, [2, 1, 4, 1, 1]], [29, [8, 9, 1]], [56, 2], [62, 1], [68, 3], [95, 4]]",[1.8420959301442675e-05]
layer_5,72,"[[25, [1, 49, 1, 1, 1]], [27, [4, 1, 1, 2, 1]], [29, [9, 2, 4]], [56, 0], [62, 2], [68, 2], [95, 0]]",[3.097991096345515e-05]
layer_5,73,"[[25, [7, 1, 7, 1, 1]], [27, [1, 1, 2, 4, 1]], [29, [36, 1, 2]], [56, 2], [62, 2], [68, 0], [95, 3]]",[4.045586055312955e-05]
layer_5,74,"[[25, [7, 7, 1, 1, 1]], [27, [1, 1, 8, 1, 1]], [29, [12, 6, 1]], [56, 0], [62, 3], [68, 2], [95, 0]]",[4.193812914485166e-05]
layer_5,75,"[[25, [7, 7, 1, 1, 1]], [27, [4, 2, 1, 1, 1]], [29, [36, 2, 1]], [56, 1], [62, 0], [68, 1], [95, 1]]",[5.8031610875433856e-05]
layer_5,76,"[[25, [1, 7, 7, 1, 1]], [27, [4, 2, 1, 1, 1]], [29, [12, 2, 3]], [56, 1], [62, 3], [68, 3], [95, 1]]",[10000000000]
layer_5,77,"[[25, [1, 49, 1, 1, 1]], [27, [1, 4, 2, 1, 1]], [29, [12, 2, 3]], [56, 1], [62, 3], [68, 1], [95, 1]]",[6.446381687155575e-05]
layer_5,78,"[[25, [49, 1, 1, 1, 1]], [27, [4, 1, 1, 1, 2]], [29, [9, 2, 4]], [56, 2], [62, 1], [68, 0], [95, 4]]",[6.125460445344129e-05]
layer_5,79,"[[25, [1, 7, 7, 1, 1]], [27, [2, 1, 1, 1, 4]], [29, [9, 2, 4]], [56, 1], [62, 0], [68, 3], [95, 0]]",[6.912368660071942e-05]
layer_5,80,"[[25, [7, 7, 1, 1, 1]], [27, [8, 1, 1, 1, 1]], [29, [36, 2, 1]], [56, 2], [62, 2], [68, 1], [95, 2]]",[1.6550544318936877e-05]
layer_5,81,"[[25, [7, 1, 7, 1, 1]], [27, [2, 2, 1, 1, 2]], [29, [9, 4, 2]], [56, 0], [62, 2], [68, 0], [95, 1]]",[3.769865469228627e-05]
layer_5,82,"[[25, [7, 1, 1, 7, 1]], [27, [2, 1, 4, 1, 1]], [29, [18, 2, 2]], [56, 1], [62, 2], [68, 3], [95, 4]]",[2.8015461117861483e-05]
layer_5,83,"[[25, [1, 49, 1, 1, 1]], [27, [1, 4, 2, 1, 1]], [29, [6, 4, 3]], [56, 0], [62, 2], [68, 1], [95, 3]]",[3.011716566998893e-05]
layer_5,84,"[[25, [7, 1, 7, 1, 1]], [27, [4, 1, 2, 1, 1]], [29, [12, 6, 1]], [56, 2], [62, 1], [68, 3], [95, 2]]",[10000000000]
layer_5,85,"[[25, [49, 1, 1, 1, 1]], [27, [2, 2, 2, 1, 1]], [29, [24, 1, 3]], [56, 0], [62, 0], [68, 0], [95, 1]]",[7.770675367647058e-05]
layer_5,86,"[[25, [1, 7, 7, 1, 1]], [27, [4, 1, 1, 2, 1]], [29, [12, 2, 3]], [56, 3], [62, 3], [68, 1], [95, 4]]",[10000000000]
layer_5,87,"[[25, [1, 7, 7, 1, 1]], [27, [1, 4, 1, 1, 2]], [29, [72, 1, 1]], [56, 1], [62, 0], [68, 2], [95, 4]]",[7.050403138173302e-05]
layer_5,88,"[[25, [1, 7, 7, 1, 1]], [27, [2, 1, 2, 2, 1]], [29, [72, 1, 1]], [56, 2], [62, 3], [68, 3], [95, 0]]",[10000000000]
layer_5,89,"[[25, [7, 1, 7, 1, 1]], [27, [2, 2, 2, 1, 1]], [29, [24, 3, 1]], [56, 1], [62, 2], [68, 1], [95, 4]]",[4.194876475823198e-05]
layer_5,90,"[[25, [1, 7, 7, 1, 1]], [27, [1, 1, 1, 4, 2]], [29, [36, 1, 2]], [56, 3], [62, 0], [68, 2], [95, 2]]",[10000000000]
layer_5,91,"[[25, [1, 49, 1, 1, 1]], [27, [1, 4, 1, 1, 2]], [29, [9, 4, 2]], [56, 0], [62, 2], [68, 1], [95, 1]]",[5.11692016404648e-05]
layer_5,92,"[[25, [1, 7, 7, 1, 1]], [27, [1, 1, 2, 2, 2]], [29, [18, 4, 1]], [56, 0], [62, 1], [68, 2], [95, 3]]",[0.00010006448815789473]
layer_5,93,"[[25, [49, 1, 1, 1, 1]], [27, [1, 4, 2, 1, 1]], [29, [6, 6, 2]], [56, 2], [62, 2], [68, 0], [95, 2]]",[4.0181520189362296e-05]
layer_5,94,"[[25, [1, 7, 7, 1, 1]], [27, [4, 1, 1, 2, 1]], [29, [9, 2, 4]], [56, 2], [62, 1], [68, 2], [95, 1]]",[6.49982369648156e-05]
